FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,etablissement_nom,etab_adr,ouverture_jour,etablissement_categorie,terrain,inspection_tutelle,terrain_sport,ministere_tutelle,geometry
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-48d9,Kara,Kozah,Kozah 1,Commune De Kara,Tchitchinida,EPP Tchitchinida Gc,Néant,"{Lundi,Mardi,Jeudi,Mercredi,Vendredi}",Ecole primaire,Domaine public de l'Etat,IEPP Kozah-Centre,Oui,MEPSTA,POINT (1.206998718157688 9.545738509943488)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-48d8,Kara,Kozah,Kozah 1,Commune De Kara,Chaminade,EPP Chaminade,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Ecole primaire,Domaine public de l'Etat,IEPP Kozah-Centre,Non,MEPSTA,POINT (1.193014041913233 9.553845531905939)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-48d7,Kara,Kozah,Kozah 1,Commune De Kara,Kara sud,EPP Kara Sud,Néant,"{Vendredi,Jeudi,Mercredi,Lundi,Mardi}",Ecole primaire,Domaine public de l'Etat,IEPP Kozah-Centre,Oui,MEPSTA,POINT (1.195475873725411 9.537307637141508)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-48d6,Kara,Kozah,Kozah 1,Commune De Kara,Tomdè,EPL CS La Voie De L'université,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Ecole primaire,Prive - individuel,IEPP Kozah-Centre,Non,MEPSTA,POINT (1.2077237025435679 9.553035087423297)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-48d5,Kara,Kozah,Kozah 1,Commune De Kara,Agnaram,EPP Agnaram Ga,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Ecole primaire,Domaine public de l'Etat,IEPP Kozah-Centre,Oui,MEPSTA,POINT (1.203125949349366 9.538693323268536)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-48d4,Kara,Kozah,Kozah 1,Commune De Kara,Chaminade,EPP Chaminade Gc,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Ecole primaire,Domaine public de l'Etat,IEPP Kozah-Centre,Non,MEPSTA,POINT (1.1924687183352947 9.553391184580791)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-48d3,Kara,Kozah,Kozah 1,Commune De Kara,Kpalouwayi,JEP Kpelouwayi,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Kozah-Centre,Non,MEPSTA,POINT (1.187698490691173 9.534712109545767)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-48d2,Kara,Kozah,Kozah 1,Commune De Kara,Ewaou,JEP Ewaou,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Kozah-Centre,Non,MEPSTA,POINT (1.1915616547980676 9.544632154871119)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-48d1,Kara,Kozah,Kozah 1,Commune De Kara,Kolide,JEP Lama Kolide Ga,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Kozah-Centre,Non,MEPSTA,POINT (1.1978793351212877 9.585980837435743)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-48d0,Kara,Kozah,Kozah 1,Commune De Kara,Tchitchinida,JEP Tchitchinida Gb,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Kozah-Centre,Non,MEPSTA,POINT (1.2066412476241803 9.546146253907592)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-48cf,Kara,Kozah,Kozah 1,Commune De Kara,Chaminade,EPL La Tendresse,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Ecole primaire,Prive - individuel,IEPP Kozah-Centre,Non,MEPSTA,POINT (1.1912178296565479 9.552975774393861)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-48ce,Kara,Kozah,Kozah 1,Commune De Kara,Agnaram,JEP Agnaram Ga,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Kozah-Centre,Non,MEPSTA,POINT (1.2027898938293344 9.538631227256161)
