"indicateur","région","sexe","Unit","Date","Value"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Kara","Total","%","2016","78.2"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Kara","Total","%","2017","61.5"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Kara","Total","%","2018","48.2"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Kara","Total","%","2019","76.6"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Kara","Total","%","2020","53.4"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Kara","Total","%","2022","73.6"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Kara","Masculin","%","2014","70.8"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Kara","Masculin","%","2015","68.2"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Kara","Masculin","%","2016","77.9"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Kara","Masculin","%","2017","63.3"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Kara","Masculin","%","2018","50.7"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Kara","Masculin","%","2019","77.2"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Kara","Masculin","%","2020","57.2"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Kara","Masculin","%","2021","82.2"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Kara","Masculin","%","2022","75.6"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Kara","Féminin","%","2014","61.3"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Kara","Féminin","%","2015","57.4"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Kara","Féminin","%","2016","78.8"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Kara","Féminin","%","2017","58.2"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Kara","Féminin","%","2018","43.6"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Kara","Féminin","%","2019","75.7"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Kara","Féminin","%","2020","48.1"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Kara","Féminin","%","2021","81.8"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Kara","Féminin","%","2022","70.9"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Savanes","Total","%","2014","72"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Savanes","Total","%","2015","60.5"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Savanes","Total","%","2016","84.7"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Savanes","Total","%","2017","41.8"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Savanes","Total","%","2018","42.6"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Savanes","Total","%","2019","70.5"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Savanes","Total","%","2020","59.9"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Savanes","Total","%","2022","84.6"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Savanes","Masculin","%","2014","76.4"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Savanes","Masculin","%","2015","65.4"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Savanes","Masculin","%","2016","86.6"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Savanes","Masculin","%","2017","44.5"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Savanes","Masculin","%","2018","45.6"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Savanes","Masculin","%","2019","72.5"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Savanes","Masculin","%","2020","62.3"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Savanes","Masculin","%","2021","88.6"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Savanes","Masculin","%","2022","85.5"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Savanes","Féminin","%","2014","62.4"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Savanes","Féminin","%","2015","50.4"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Savanes","Féminin","%","2016","80.9"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Savanes","Féminin","%","2017","36.7"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Savanes","Féminin","%","2018","36.4"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Savanes","Féminin","%","2019","66.8"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Savanes","Féminin","%","2020","55.8"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Savanes","Féminin","%","2021","81.5"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Savanes","Féminin","%","2022","83.3"
