FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,etablissement_nom,etab_adr,ouverture_jour,etablissement_categorie,terrain,inspection_tutelle,terrain_sport,ministere_tutelle,geometry
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-2815,Plateaux,Haho,Haho 2,Djemegni,Kodon kpota,JEsus Est La Solution Collège,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",College,Prive - individuel,IESG Notsé,Non,MEPSTA,POINT (1.3033889343900136 6.963219309694535)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-2814,Plateaux,Haho,Haho 2,Djemegni,Kponou,CEG Kponou,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",College,Domaine public de l'Etat,IESG Notsé,Non,MEPSTA,POINT (1.3297312796199925 6.996142897722231)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-2813,Plateaux,Haho,Haho 2,Djemegni,Tsave,CEG Tsave,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",College,autre,IESG Notsé,Non,MEPSTA,POINT (1.3172158550778477 6.9310283247785796)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-2812,Plateaux,Amou,Amou 1,Adiva,Adiva,CEG Adiva,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",College,Domaine public de l'Etat,IESG Atakpamé,Non,MEPSTA,POINT (1.0200846568964423 7.511234888412095)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-2811,Plateaux,Amou,Amou 1,Imlè-Adiva,Koutoukpa,CEG Koutoukpa,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",College,Domaine public de l'Etat,IESG Atakpamé,Oui,MEPSTA,POINT (0.9910665607990368 7.507408276311468)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-2810,Plateaux,Amou,Amou 1,Amlamé (Ouma),Ezime,CEG Ezime,BP 287,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",College,Domaine public de l'Etat,IESG Atakpamé,Oui,MEPSTA,POINT (0.943720983122645 7.488585964557819)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-280f,Maritime,Golfe,Golfe 5,Aflao-Gakli,N/a,CLS Sigma College,N/a,N/a,College,N/a,IESG Golfe-Ouest,N/a,N/a,POINT (1.2064882634822938 6.185900552467741)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-280e,Plateaux,Amou,Amou 1,Amlamé (Ouma),Zongo,Lycée Amlame College,S/C BP 287 ATAKPAME,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",College,Domaine public de l'Etat,IESG Atakpamé,Oui,MEPSTA,POINT (0.9069144831214893 7.457426874392436)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-280d,Plateaux,Amou,Amou 1,Amlamé (Ouma),Amlame,CS Enfant Et Adolescent EPAnouis,Néant,"{Lundi,Mardi,Jeudi,Mercredi,Vendredi}",College,Prive - individuel,IESG Atakpamé,Non,MEPSTA,POINT (0.9027463497774655 7.456684817022773)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-280c,Plateaux,Amou,Amou 1,Amlamé (Ouma),Agadji,CEG Agaji,BP 81 AMLAME,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",College,Prive - individuel,IESG Atakpamé,Oui,MEPSTA,POINT (0.8929685388643684 7.443106336051436)
