indicator_id,country_id,year,value,magnitude,qualifier
AIR.2.GPV.GLAST.F,TGO,1975,3.200030088424683,,
AIR.2.GPV.GLAST.F,TGO,1976,3.762720108032227,,
AIR.2.GPV.GLAST.F,TGO,1977,4.90024995803833,,
AIR.2.GPV.GLAST.F,TGO,1978,6.248129844665527,,
AIR.2.GPV.GLAST.F,TGO,1979,7.880370140075684,,
AIR.2.GPV.GLAST.F,TGO,1980,8.620260238647461,,
AIR.2.GPV.GLAST.F,TGO,1981,8.710029602050781,,
AIR.2.GPV.GLAST.F,TGO,1982,8.870240211486816,,
AIR.2.GPV.GLAST.F,TGO,1983,7.307499885559082,,
AIR.2.GPV.GLAST.F,TGO,1984,5.120800018310547,,
AIR.2.GPV.GLAST.F,TGO,1985,4.737249851226807,,
AIR.2.GPV.GLAST.F,TGO,1986,4.584660053253174,,
AIR.2.GPV.GLAST.F,TGO,1987,4.593009948730469,,
AIR.2.GPV.GLAST.F,TGO,1988,4.192359924316406,,
AIR.2.GPV.GLAST.F,TGO,1989,4.864459991455078,,
AIR.2.GPV.GLAST.F,TGO,1990,5.867030143737793,,
AIR.2.GPV.GLAST.F,TGO,1991,5.808730125427246,,
AIR.2.GPV.GLAST.F,TGO,1992,5.719560146331787,,
AIR.2.GPV.GLAST.F,TGO,1994,6.006849765777588,,
AIR.2.GPV.GLAST.F,TGO,1995,8.221349716186523,,
AIR.2.GPV.GLAST.F,TGO,1996,7.95904016494751,,
AIR.2.GPV.GLAST.F,TGO,1999,11.30272006988525,,
AIR.2.GPV.GLAST.F,TGO,2000,13.4458703994751,,
AIR.2.GPV.GLAST.F,TGO,2001,16.31804084777832,,
AIR.2.GPV.GLAST.F,TGO,2002,18.3001708984375,,
AIR.2.GPV.GLAST.F,TGO,2003,20.42444038391113,,
AIR.2.GPV.GLAST.F,TGO,2004,22.77113914489746,,
AIR.2.GPV.GLAST.F,TGO,2005,25.91678047180176,,
AIR.2.GPV.GLAST.F,TGO,2006,26.49279022216797,,
AIR.2.GPV.GLAST.F,TGO,2007,21.58982086181641,,
AIR.2.GPV.GLAST.F,TGO,2008,23.02206039428711,,
AIR.2.GPV.GLAST.F,TGO,2010,23.56895809314794,,
AIR.2.GPV.GLAST.F,TGO,2011,27.54142776994759,,
AIR.2.GPV.GLAST.F,TGO,2013,28.80750158261237,,
AIR.2.GPV.GLAST.F,TGO,2014,28.33808094028281,,
AIR.2.GPV.GLAST.F,TGO,2015,31.43814375210173,,
AIR.2.GPV.GLAST.F,TGO,2016,33.83711777172267,,
AIR.2.GPV.GLAST.F,TGO,2017,38.25678681116955,,
AIR.2.GPV.GLAST.F,TGO,2018,40.7925808744297,,
AIR.2.GPV.GLAST.F,TGO,2019,44.50106394893045,,
AIR.2.GPV.GLAST.F,TGO,2020,46.94695464078266,,
AIR.2.GPV.GLAST.F,TGO,2021,51.18929318984291,,
AIR.2.GPV.GLAST.F,TGO,2022,58.3731570920183,,
AIR.2.GPV.GLAST.F,TGO,2023,53.81424178827664,,
AIR.2.GPV.GLAST.F,TGO,2024,54.36757247748088,,
AIR.2.GPV.GLAST.GPIA,TGO,1974,.2598499953746796,,
AIR.2.GPV.GLAST.GPIA,TGO,1975,.2356400042772293,,
AIR.2.GPV.GLAST.GPIA,TGO,1976,.2402099967002869,,
AIR.2.GPV.GLAST.GPIA,TGO,1977,.2356600016355515,,
AIR.2.GPV.GLAST.GPIA,TGO,1978,.2481700032949448,,
AIR.2.GPV.GLAST.GPIA,TGO,1979,.2621400058269501,,
AIR.2.GPV.GLAST.GPIA,TGO,1980,.2446999996900558,,
AIR.2.GPV.GLAST.GPIA,TGO,1981,.2561199963092804,,
AIR.2.GPV.GLAST.GPIA,TGO,1982,.2713800072669983,,
AIR.2.GPV.GLAST.GPIA,TGO,1983,.2777400016784668,,
AIR.2.GPV.GLAST.GPIA,TGO,1984,.2597100138664246,,
AIR.2.GPV.GLAST.GPIA,TGO,1985,.2678099870681763,,
AIR.2.GPV.GLAST.GPIA,TGO,1986,.2686800062656403,,
AIR.2.GPV.GLAST.GPIA,TGO,1987,.267190009355545,,
AIR.2.GPV.GLAST.GPIA,TGO,1988,.2641600072383881,,
AIR.2.GPV.GLAST.GPIA,TGO,1989,.275739997625351,,
AIR.2.GPV.GLAST.GPIA,TGO,1990,.3025799989700317,,
AIR.2.GPV.GLAST.GPIA,TGO,1991,.3135600090026855,,
AIR.2.GPV.GLAST.GPIA,TGO,1992,.2806499898433685,,
AIR.2.GPV.GLAST.GPIA,TGO,1994,.3288800120353699,,
AIR.2.GPV.GLAST.GPIA,TGO,1995,.3598600029945374,,
AIR.2.GPV.GLAST.GPIA,TGO,1996,.3423900008201599,,
AIR.2.GPV.GLAST.GPIA,TGO,1999,.382889986038208,,
AIR.2.GPV.GLAST.GPIA,TGO,2000,.4333699941635132,,
AIR.2.GPV.GLAST.GPIA,TGO,2001,.4556599855422974,,
AIR.2.GPV.GLAST.GPIA,TGO,2002,.4562700092792511,,
AIR.2.GPV.GLAST.GPIA,TGO,2003,.4813899993896484,,
